isolate,organism,country,specimen_voucher,note,organelle,mol_type
PYR284,Pyrus cordata,,B:Gartenherbar 49130,Barcode:BG Berlin 142-05-89-50;Tax. Authority: Desv.,plastid:chloroplast,genomic DNA
PYR125,Pyrus daralaghezii,Armenia,"B,ERE:Ter-Voskanyan & Akopian M12-35",Tax. Authority: Mulk.,plastid:chloroplast,genomic DNA
PYR126,Pyrus daralaghezii,Armenia,"B,ERE:Ter-Voskanyan & Akopian M12-36",Tax. Authority: Mulk.,plastid:chloroplast,genomic DNA
PYR078,Pyrus elata,Armenia,"B,ERE:Ter-Voskanyan & Oganesian M11-100",Tax. Authority: Rubtzov,plastid:chloroplast,genomic DNA
PYR293,Pyrus eleagrifolia,Turkey,Ern & Krone 7083,Barcode:BG Berlin 247-83-81-10;Tax. Authority: Pall.,plastid:chloroplast,genomic DNA
PYR011,Pyrus fedorovii, Armenia,"B,ERE:Ter-Voskanyan, Akopian, Parolly, Weber P3-1",Tax. Authority: Kuth.,plastid:chloroplast,genomic DNA
PYR057,Pyrus georgica,Armenia,"B,ERE:Ter-Voskanyan M11-66",Tax. Authority: Kuth.,plastid:chloroplast,genomic DNA
PYR060,Pyrus grossheimii,Armenia,"B,ERE:Ter-Voskanyan & Oganesian M11-74",Tax. Authority: Fed.,plastid:chloroplast,genomic DNA
PYR294,Pyrus lindleyi,,B:Gartenherbar 49135,Barcode:BG Berlin 185-43-74-80;Tax. Authority: Rehder,plastid:chloroplast,genomic DNA
PYR299,Pyrus lindleyi,,,Barcode:BG Berlin 185-42-74-80;Tax. Authority: Rehder,plastid:chloroplast,genomic DNA
PYR350,Pyrus magyarica,Hungary,Kinga Bata s.n.,type location;Tax. Authority: Terpó,plastid:chloroplast,genomic DNA
PYR351,Pyrus magyarica,Hungary,Kinga Bata s.n.,Tax. Authority: Terpó,plastid:chloroplast,genomic DNA
PYR008,Pyrus medvedevii,Armenia,"B,ERE:Ter-Voskanyan, Akopian, Parolly, Weber P2-3",Tax. Authority: Rubtzov,plastid:chloroplast,genomic DNA
PYR080,Pyrus megrica,Armenia,"B,ERE:Ter-Voskanyan & Oganesian M11-120",Tax. Authority: Gladkova,plastid:chloroplast,genomic DNA
PYR288,Pyrus nivalis,,B:Gartenherbar 49129,Barcode:BG Berlin 185-44-74-80;Tax. Authority: Jacq.,plastid:chloroplast,genomic DNA
PYR352,Pyrus nivalis,Hungary,Kinga Bata s.n.,Tax. Authority: Jacq.,plastid:chloroplast,genomic DNA
PYR368,Pyrus nivalis,Hungary,Sramkó s.n.,Tax. Authority: Jacq.,plastid:chloroplast,genomic DNA
PYR065,Pyrus nutans,Armenia,"B,ERE:Ter-Voskanyan & Oganesian M11-86",Tax. Authority: Rubtzov,plastid:chloroplast,genomic DNA
PYR056,Pyrus oxyprion,Armenia,"B,ERE:Ter-Voskanyan M11-65",Tax. Authority: Woronow,plastid:chloroplast,genomic DNA
PYR277,Pyrus phaeocarpa,,B:Gartenherbar 49137,Barcode:BG Berlin 185-47-74-80;Tax. Authority: Rehder,plastid:chloroplast,genomic DNA
PYR282,Pyrus phaeocarpa,,B:Gartenherbar 49127,Barcode:BG Berlin 185-46-74-80;Tax. Authority: Rehder,plastid:chloroplast,genomic DNA
PYR278,Pyrus communis,Czech Republic,Rybka s.n.,Barcode:BG Berlin 180-04-03-10;Tax. Authority: L.,plastid:chloroplast,genomic DNA
PYR287,Pyrus communis,Italy,,Barcode:BG Berlin 114-47-87-10;Tax. Authority: L.,plastid:chloroplast,genomic DNA
PYR291,Pyrus communis,Italy,Romi & Casini s.n.,Barcode:BG Berlin 193-05-98-10;Tax. Authority: L.,plastid:chloroplast,genomic DNA
PYR295,Pyrus communis,Hungary,,Barcode:BG Berlin 176-04-98-10;Tax. Authority: L.,plastid:chloroplast,genomic DNA
PYR289,Pyrus pyrifolia,South Korea,Schüle s.n.,Barcode:BG Berlin 004-01-08-70;Tax. Authority: (Burm.f.) Nakai.,plastid:chloroplast,genomic DNA
PYR086,Pyrus salicifolia,Georgia,B:Kürschner & Parolly Gg 11-25,Tax. Authority: Pall.,plastid:chloroplast,genomic DNA
PYR111,Pyrus salicifolia,Armenia,"B,ERE:Ter-Voskanyan & Akopian M12-21",Tax. Authority: Pall.,plastid:chloroplast,genomic DNA
PYR235,Pyrus salicifolia,Armenia,"B,ERE:Ter-Voskanyan, Sargsyan, Korotkova M12-148",Tax. Authority: Pall.,plastid:chloroplast,genomic DNA
PYR296,Pyrus serrulata,,B:Gartenherbar 49138,Barcode:BG Berlin 102-23-74-80;Tax. Authority: Rehder,plastid:chloroplast,genomic DNA
PYR058,Pyrus sosnovskyi,Armenia,"B,ERE:Ter-Voskanyan M11-67",Tax. Authority: Fed.,plastid:chloroplast,genomic DNA
PYR333,Pyrus spinosa,Greece,B:Willing 177.989-178.018,Tax. Authority: Forssk.,plastid:chloroplast,genomic DNA
PYR344,Pyrus spinosa,Greece,B:Shay 1481,Tax. Authority: Forssk.,plastid:chloroplast,genomic DNA
PYR345,Pyrus spinosa,"Greece:Pitsidia, Agricultural Guard",,Tax. Authority: Forssk.,plastid:chloroplast,genomic DNA
PYR281,Pyrus spinosa,Italy,Romi & Casini s.n.,Barcode:BG Berlin 132-13-02-10;Tax. Authority: Forssk.,plastid:chloroplast,genomic DNA
PYR286,Pyrus spinosa,Turkey,Ern & Krone 7145,Barcode:BG Berlin 248-45-81-10;Tax. Authority: Forssk.,plastid:chloroplast,genomic DNA
PYR292,Pyrus spinosa,Italy,"B:Gartenherbar 49136, Schimmenti 11977",Barcode:BG Berlin 057-05-79-10;Tax. Authority: Forssk.,plastid:chloroplast,genomic DNA
PYR334,Pyrus spinosa,Turkey,B:Döring & Parolly 6439,Tax. Authority: Forssk.,plastid:chloroplast,genomic DNA
PYR346,Pyrus syriaca,Cyprus,B:Buttler & Diguet 32402,Tax. Authority: Boiss,plastid:chloroplast,genomic DNA
PYR006,Pyrus takhtadzhianii,Armenia,"B,ERE:Ter-Voskanyan, Akopian, Parolly, Weber P2-1",Tax. Authority: Fed.,plastid:chloroplast,genomic DNA
PYR082,Pyrus takhtadzhianii,Armenia,"B,ERE:Ter-Voskanyan & Oganesian M11-124",Tax. Authority: Fed.,plastid:chloroplast,genomic DNA
PYR053,Pyrus tamamaschjanae,Armenia,"B,ERE:Ter-Voskanyan M11-62",Tax. Authority: Fed.,plastid:chloroplast,genomic DNA
PYR061,Pyrus turcomanica,Armenia,"B,ERE:Ter-Voskanyan & Oganesian M11-75",Tax. Authority: Maleev,plastid:chloroplast,genomic DNA
PYR279,Pyrus ussuriensis,South Korea,,Barcode:BG Berlin 095-37-79-10;Tax. Authority: Maxim.,plastid:chloroplast,genomic DNA
PYR290,Pyrus ussuriensis,South Korea,Chang 542,Barcode:BG Berlin 007-01-06-10;Tax. Authority: Maxim.,plastid:chloroplast,genomic DNA
PYR032,Pyrus zangezura,Armenia,"B,ERE:Ter-Voskanyan, Akopian, Parolly, Weber M11-30",Tax. Authority: Maleev,plastid:chloroplast,genomic DNA
